venue,role,side,qty,price,mid,fee_bps,fee,spread_capture,symbol
VENUE_B,maker,SELL,40,0.7,0.0,-0.02,-5.6000000000000006e-05,28.0,
VENUE_A,maker,BUY,40,24.9,25.59,-0.05,-0.00498,27.60000000000005,
VENUE_B,maker,SELL,40,51.0,0.0,-0.02,-0.00408,2040.0,
VENUE_A,maker,BUY,40,24.9,25.59,-0.05,-0.00498,27.60000000000005,
VENUE_A,maker,BUY,40,24.9,25.59,-0.05,-0.00498,27.60000000000005,
VENUE_B,maker,SELL,20,51.0,0.0,-0.02,-0.00204,1020.0,
VENUE_B,maker,SELL,20,51.0,0.0,-0.02,-0.00204,1020.0,
VENUE_A,maker,BUY,40,24.9,25.59,-0.05,-0.00498,27.60000000000005,
VENUE_B,maker,SELL,40,0.7,0.0,-0.02,-5.6000000000000006e-05,28.0,
VENUE_A,maker,BUY,40,24.9,25.59,-0.05,-0.00498,27.60000000000005,
VENUE_B,maker,SELL,20,0.7,50.32,-0.02,-2.8000000000000003e-05,-992.4,
VENUE_A,maker,SELL,20,26.3,25.6,-0.05,-0.0026300000000000004,13.999999999999986,
VENUE_B,maker,SELL,40,51.05,0.0,-0.02,-0.004084000000000001,2042.0,
VENUE_B,maker,SELL,40,51.0,0.0,-0.02,-0.00408,2040.0,
VENUE_A,maker,SELL,40,26.3,25.6,-0.05,-0.005260000000000001,27.99999999999997,
VENUE_A,maker,BUY,40,24.9,25.6,-0.05,-0.00498,28.000000000000114,
VENUE_B,maker,SELL,10,0.7,0.0,-0.02,-1.4000000000000001e-05,7.0,
VENUE_B,maker,SELL,40,0.7,0.0,-0.02,-5.6000000000000006e-05,28.0,
VENUE_A,maker,SELL,20,26.3,25.6,-0.05,-0.0026300000000000004,13.999999999999986,
VENUE_A,maker,SELL,20,26.3,25.6,-0.05,-0.0026300000000000004,13.999999999999986,
VENUE_A,maker,SELL,20,26.3,25.6,-0.05,-0.0026300000000000004,13.999999999999986,
VENUE_A,maker,BUY,40,24.9,25.59,-0.05,-0.00498,27.60000000000005,
VENUE_A,maker,SELL,20,26.3,25.6,-0.05,-0.0026300000000000004,13.999999999999986,
VENUE_A,maker,SELL,20,26.3,25.59,-0.05,-0.0026300000000000004,14.200000000000017,
VENUE_A,maker,BUY,40,24.9,25.59,-0.05,-0.00498,27.60000000000005,
VENUE_B,maker,SELL,20,51.0,0.0,-0.02,-0.00204,1020.0,
VENUE_A,maker,SELL,40,26.3,25.61,-0.05,-0.005260000000000001,27.60000000000005,
VENUE_A,maker,BUY,40,24.9,25.59,-0.05,-0.00498,27.60000000000005,
VENUE_A,maker,SELL,20,26.3,25.6,-0.05,-0.0026300000000000004,13.999999999999986,
VENUE_A,maker,SELL,40,26.3,25.61,-0.05,-0.005260000000000001,27.60000000000005,
VENUE_A,maker,BUY,20,24.9,25.6,-0.05,-0.00249,14.000000000000057,
VENUE_A,maker,SELL,40,26.3,25.61,-0.05,-0.005260000000000001,27.60000000000005,
VENUE_A,maker,BUY,40,24.9,25.59,-0.05,-0.00498,27.60000000000005,
